wisely мудро
voraciously жадно
indiscriminately без_разбора
eminent выдающийся
stepped погруженный
coed студентка
replete насыщенный
discouraging обескураживающий
occasionally изредка
humble скромный
election выборы
boastful хвастливый
outstanding выделяться
supplied поставляется
desiring желая
soaked пропитанный
drenched залитый
saturated насыщенный
appropriate подходящий
chimney труба
blackmail шантаж
sincerely искренне
unite объединить
brush_up освежить
facing оболочка
exclaimed восклицать
